-56	-44	5
-2	21	27
-45	18	46
-1	-82	20
-16	-10	-29
-24	-54	-16
-47	-70	31
-56	-32	-24
-1	-48	25
-43	-87	1
-35.98	30.71	-12.11
-3	-73	-1
-4	44	-14
-68	-29	-13
-18	-30	-18
-3	-28	62
-57	22	18
-44	48	-13
-50	35	3
-12	-89	3
-50	-26	58
-1	-18	38
-44	-12	59
-9	-59	46
-2	39	6
-34	53	17
-21	38	50
-25	-62	63
-63	-7	-1
-60	-41	39
-9	65	-12
-26	15	-35
-49	-23	9
-41	13	-6
50	-42	6
3	21	27
43	14	43
3	-81	19
21	-4	-32
33	-52	-19
48	-67	29
61	-31	-27
1	-48	26
38	-88	1
20	38	-21
5	-69	-1
7	45	-13
69	-24	-14
20	-29	-17
4	-25	61
57	15	17
49	40	-13
55	31	5
14	-85	5
51	-23	56
1	-16	37
47	-9	54
7	-57	41
4	38	4
43	45	21
16	34	53
17	-65	59
67	-12	-1
65	-36	35
9	64	-13
37	21	-38
45	-25	11
43	12	-6
